,episode,score,avg_score,epsilon
412,412,249.21556107697583,-3.2930560605162738,0.01
413,413,-5.255412846556254,-2.7421191360362775,0.01
414,414,253.7086481002172,-1.0380434096945208,0.01
415,415,224.93794887743786,-0.7619033992139254,0.01
416,416,-521.7806546411454,-6.605992809785151,0.01
417,417,119.60600070600903,-7.284315765030207,0.01
418,418,-533.6097508132957,-9.80400895119377,0.01
419,419,241.66060334314795,-7.40368828740191,0.01
420,420,197.68624865209026,-5.548361002693577,0.01
421,421,219.21624090379356,-2.805578427079196,0.01
422,422,292.53336782191394,0.5656731567802104,0.01
423,423,-117.35462825428147,2.3408622481523516,0.01
424,424,165.5445095620022,4.123784641820205,0.01
425,425,208.33395848031066,8.65751942702447,0.01
426,426,-213.0734941535129,7.059996330898058,0.01
427,427,271.0588742167629,11.91616682736525,0.01
428,428,212.61752588215717,14.461271818922999,0.01
429,429,204.41122737570777,19.182870221197977,0.01
430,430,173.333165371718,22.927578394486144,0.01
431,431,143.3585295479286,26.34409039039656,0.01
432,432,222.0705094901807,28.983918117091342,0.01
433,433,-127.28582543217448,28.799834653829866,0.01
434,434,-178.5049462049434,29.34093342846891,0.01
435,435,-157.35526787464192,28.105139671498268,0.01
436,436,-235.6132853916013,27.207413093157637,0.01
437,437,-61.14741667338299,26.88957001679907,0.01
438,438,280.5569911838082,29.977863089718724,0.01
439,439,-201.77480055349974,29.2412795096234,0.01
440,440,-190.52505588144265,28.024877676972423,0.01
441,441,-176.43405459511294,28.511612282757042,0.01
442,442,-191.59358814981084,29.330312437184364,0.01
443,443,-288.40808368046373,30.458872234839678,0.01
444,444,250.9913262987894,35.23827345725955,0.01
445,445,-275.26014424621917,33.2750909592216,0.01
446,446,-84.07914421988708,31.38532901574567,0.01
447,447,-311.2795058138017,27.838820999521868,0.01
448,448,-228.3868753837432,30.12577413512203,0.01
449,449,239.72236308305946,30.01933993894615,0.01
450,450,206.4845211918999,32.2284126041471,0.01
451,451,-242.09870320024552,32.563396000698155,0.01
452,452,-290.04047684490723,28.089823759675546,0.01
453,453,-241.68934824641616,23.363454248583476,0.01
454,454,-198.40001063035663,23.753063023270105,0.01
455,455,-21.385668989948044,24.808606568879636,0.01
